,delta,alpha,beta
5935,0.5935,0.5799900627427322,0.9934287875679986
5936,0.5936,0.5801064215958783,0.9934379444279677
5937,0.5937,0.5802227635441289,0.9934470896342762
5938,0.5938,0.5803390886040145,0.9934562232017982
5939,0.5939,0.5804553967920458,0.993465345145386
5940,0.5940000000000001,0.5805716881247123,0.9934744554798691
5941,0.5941000000000001,0.5806879626184834,0.9934835542200553
5942,0.5942000000000001,0.5808042202898092,0.9934926413807301
5943,0.5943,0.580920461155118,0.9935017169766567
5944,0.5944,0.5810366852308191,0.9935107810225763
5945,0.5945,0.5811528925333012,0.9935198335332082
5946,0.5946,0.5812690830789329,0.9935288745232495
5947,0.5947,0.5813852568840633,0.9935379040073756
5948,0.5948,0.5815014139650202,0.9935469220002398
5949,0.5949,0.5816175543381127,0.9935559285164736
5950,0.595,0.5817336780196295,0.9935649235706867
5951,0.5951000000000001,0.581849785025839,0.993573907177467
5952,0.5952000000000001,0.5819658753729899,0.9935828793513806
5953,0.5953,0.5820819490773116,0.993591840106972
5954,0.5954,0.5821980061550128,0.9936007894587641
5955,0.5955,0.5823140466222833,0.993609727421258
5956,0.5956,0.5824300704952924,0.9936186540089333
5957,0.5957,0.5825460777901903,0.9936275692362483
5958,0.5958,0.5826620685231071,0.9936364731176395
5959,0.5959,0.5827780427101535,0.993645365667522
5960,0.596,0.5828940003674208,0.9936542469002898
5961,0.5961000000000001,0.5830099415109803,0.9936631168303152
5962,0.5962000000000001,0.5831258661568838,0.9936719754719492
5963,0.5963,0.5832417743211643,0.9936808228395219
5964,0.5964,0.5833576660198344,0.9936896589473415
5965,0.5965,0.583473541268888,0.9936984838096957
5966,0.5966,0.5835894000842994,0.9937072974408506
5967,0.5967,0.5837052424820236,0.9937160998550515
5968,0.5968,0.5838210684779961,0.9937248910665222
5969,0.5969,0.5839368780881333,0.9937336710894658
5970,0.597,0.5840526713283327,0.9937424399380643
5971,0.5971000000000001,0.5841684482144721,0.9937511976264789
5972,0.5972000000000001,0.5842842087624098,0.9937599441688495
