,delta,beta
315,0.0315,3.219646771412954e-14
316,0.0316,3.3861802251067274e-14
317,0.0317,3.552713678800501e-14
318,0.0318,3.7192471324942744e-14
319,0.031900000000000005,3.885780586188048e-14
320,0.032,4.0523140398818214e-14
321,0.032100000000000004,4.2743586448068527e-14
322,0.0322,4.440892098500626e-14
323,0.0323,4.6629367034256575e-14
324,0.0324,4.884981308350689e-14
325,0.0325,5.10702591327572e-14
326,0.032600000000000004,5.3290705182007514e-14
327,0.0327,5.551115123125783e-14
328,0.0328,5.828670879282072e-14
329,0.0329,6.106226635438361e-14
330,0.033,6.38378239159465e-14
331,0.033100000000000004,6.661338147750939e-14
332,0.0332,6.938893903907228e-14
333,0.0333,7.271960811294775e-14
334,0.0334,7.549516567451064e-14
335,0.0335,7.882583474838611e-14
336,0.033600000000000005,8.271161533457416e-14
337,0.0337,8.604228440844963e-14
338,0.033800000000000004,8.992806499463768e-14
339,0.0339,9.381384558082573e-14
340,0.034,9.769962616701378e-14
341,0.0341,1.021405182655144e-13
342,0.0342,1.0658141036401503e-13
343,0.034300000000000004,1.1102230246251565e-13
344,0.0344,1.1601830607332886e-13
345,0.0345,1.2101430968414206e-13
346,0.0346,1.2601031329495527e-13
347,0.0347,1.3156142841808105e-13
348,0.034800000000000005,1.3711254354120683e-13
349,0.0349,1.432187701766452e-13
350,0.035,1.4876988529977098e-13
351,0.0351,1.5543122344752192e-13
352,0.0352,1.6153745008296028e-13
353,0.035300000000000005,1.687538997430238e-13
354,0.0354,1.7541523789077473e-13
355,0.035500000000000004,1.8263168755083825e-13
356,0.0356,1.9040324872321435e-13
357,0.0357,1.9817480989559044e-13
358,0.0358,2.0650148258027912e-13
359,0.0359,2.148281552649678e-13
360,0.036000000000000004,2.2370993946196904e-13
361,0.0361,2.3314683517128287e-13
362,0.0362,2.425837308805967e-13
363,0.0363,2.525757381022231e-13
364,0.0364,2.625677453238495e-13
365,0.036500000000000005,2.731148640577885e-13
366,0.0366,2.8421709430404007e-13
367,0.0367,2.9531932455029164e-13
368,0.0368,3.0753177782116836e-13
